full_name, age, birthday, birthday_GMT, league, season, position, Current_Club, minutes_played_overall, minutes_played_home, minutes_played_away, nationality, appearances_overall, appearances_home, appearances_away, goals_overall, goals_home, goals_away, assists_overall, assists_home, assists_away, penalty_goals, penalty_misses, clean_sheets_overall, clean_sheets_home, clean_sheets_away, conceded_overall, conceded_home, conceded_away, yellow_cards_overall, red_cards_overall, goals_involved_per_90_overall, assists_per_90_overall, goals_per_90_overall, goals_per_90_home, goals_per_90_away, min_per_goal_overall, conceded_per_90_overall, min_per_conceded_overall, min_per_match, min_per_card_overall, min_per_assist_overall, cards_per_90_overall, rank_in_league_top_attackers, rank_in_league_top_midfielders, rank_in_league_top_defenders, rank_in_club_top_scorer
Diogo José Teixeira da Silva, 25, 849686400, 1996/12/04, Premier League, 2018/2019, Midfielder, Wolverhampton Wanderers, 2371, 1210, 1161, Portugal, 33, 16, 17, 9, 7, 2, 5, 3, 2, 0, 0, 9, 7, 2, 29, 11, 18, 11, 0, 0.53, 0.19, 0.34, 0.52, 0.16, 263, 1.1, 82, 72, 216, 474, 0.42, 52, 71, -1, 2
Diogo José Teixeira da Silva, 25, 849686400, 1996/12/04, Premier League, 2018/2019, Midfielder, Wolverhampton Wanderers, 2371, 1210, 1161, Portugal, 33, 16, 17, 9, 7, 2, 5, 3, 2, 0, 0, 9, 7, 2, 29, 11, 18, 11, 0, 0.53, 0.19, 0.34, 0.52, 0.16, 263, 1.1, 82, 72, 216, 474, 0.42, 52, 71, -1, 2
Felipe Anderson Pereira Gomes, 29, 734857200, 1993/04/15, Premier League, 2018/2019, Midfielder, West Ham United, 3054, 1439, 1615, Brazil, 36, 17, 19, 9, 4, 5, 4, 2, 2, 0, 0, 6, 3, 3, 43, 21, 22, 3, 0, 0.38, 0.12, 0.27, 0.25, 0.28, 339, 1.27, 71, 85, 1018, 764, 0.09, 70, 130, -1, 2
Troy Deeney, 34, 583570800, 1988/06/29, Premier League, 2018/2019, Forward, Watford, 2548, 1298, 1250, England, 32, 16, 16, 9, 3, 6, 5, 1, 4, 1, 0, 5, 3, 2, 43, 23, 20, 5, 1, 0.49, 0.18, 0.32, 0.21, 0.43, 283, 1.52, 59, 80, 425, 510, 0.21, 57, 81, -1, 2
Pedro Rodriguez, 35, 554454000, 1987/07/28, Premier League, 2018/2019, Midfielder, Chelsea, 1780, 958, 822, Spain, 31, 15, 16, 8, 6, 2, 2, 2, 0, 0, 0, 11, 7, 4, 18, 7, 11, 2, 0, 0.51, 0.1, 0.4, 0.56, 0.22, 223, 0.91, 99, 57, 890, 890, 0.1, 35, 144, -1, 2
Pedro Rodriguez, 35, 554454000, 1987/07/28, Premier League, 2018/2019, Midfielder, Chelsea, 1780, 958, 822, Spain, 31, 15, 16, 8, 6, 2, 2, 2, 0, 0, 0, 11, 7, 4, 18, 7, 11, 2, 0, 0.51, 0.1, 0.4, 0.56, 0.22, 223, 0.91, 99, 57, 890, 890, 0.1, 35, 144, -1, 2
Christian Eriksen, 30, 698054400, 1992/02/14, Premier League, 2018/2019, Midfielder, Tottenham Hotspur, 2772, 1457, 1315, Denmark, 35, 18, 17, 8, 6, 2, 12, 8, 4, 0, 0, 10, 6, 4, 34, 14, 20, 3, 0, 0.65, 0.39, 0.26, 0.37, 0.14, 347, 1.1, 82, 79, 924, 231, 0.1, 76, 10, -1, 4
Gabriel Jesus, 25, 860054400, 1997/04/03, Premier League, 2018/2019, Forward, Manchester City, 1019, 702, 317, Brazil, 29, 14, 15, 7, 5, 2, 3, 1, 2, 1, 0, 16, 7, 9, 11, 7, 4, 1, 0, 0.88, 0.26, 0.62, 0.64, 0.57, 146, 0.97, 93, 35, 1019, 340, 0.09, 6, 33, -1, 4
Gabriel Jesus, 25, 860054400, 1997/04/03, Premier League, 2018/2019, Forward, Manchester City, 1019, 702, 317, Brazil, 29, 14, 15, 7, 5, 2, 3, 1, 2, 1, 0, 16, 7, 9, 11, 7, 4, 1, 0, 0.88, 0.26, 0.62, 0.64, 0.57, 146, 0.97, 93, 35, 1019, 340, 0.09, 6, 33, -1, 4
Andre Gray, 31, 677919600, 1991/06/26, Premier League, 2018/2019, Forward, Watford, 1358, 809, 549, England, 29, 15, 14, 7, 5, 2, 2, 2, 0, 0, 0, 5, 3, 2, 23, 16, 7, 2, 0, 0.6, 0.13, 0.46, 0.56, 0.33, 194, 1.52, 59, 47, 679, 679, 0.13, 25, 109, -1, 3
